artist,artist_playcount,artist_listeners,mbid,rank_global_artist
Slowdive,145960609,2207194,a16371b9-7d36-497a-a9d4-42b0a0440c5e,192
Tears for Fears,90507427,3934620,7c7f9c94-dee8-4903-892b-6cf44652e2de,193
Three Days Grace,184251314,3860783,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,194
Faye Webster,133785065,1774262,ce4a1c08-6912-423f-bf6c-97ce69f5e89f,195
5 Seconds of Summer,208546828,2249874,830e5c4e-6b7d-431d-86ab-00c751281dc5,196
Florence + the Machine,280657938,3891849,5fee3020-513b-48c2-b1f7-4681b01db0c6,197
The Rolling Stones,272680909,5802011,b071f9fa-14b0-4217-8e97-eb41da73f598,198
Lil Baby,167737833,1607905,d42a5768-ada1-4fb6-85fd-f61aba6264e0,199
Ellie Goulding,152059539,3939841,33ca19f4-18c8-4411-98df-ac23890ce9f5,200
j-hope,759796637,1045473,,201
Panchiko,81779413,1149541,8f64d6ea-3f6c-408c-b2e0-e5334b28dae9,202
Ravyn Lenae,44228265,1678489,94c64122-dbd4-4927-b2fa-f204b0b4b0c2,203
The Goo Goo Dolls,52531935,2615212,,204
Lil Yachty,131177353,1797031,a668565b-41b8-44a8-9d5c-8e609dbf69fc,205
Miguel,78381529,2669583,285e1285-aecc-478f-a8da-0c8cf69e1217,206
blink-182,307346535,4614015,,207
Red Velvet,243779455,1390120,4f0cb3b7-6c06-4317-ae35-ddf3106a17ee,208
Frank Sinatra,180850144,4908178,197450cd-0124-4164-b723-3c22dd16494d,209
Big Thief,119500524,1646398,9f81247f-7f57-42f3-a8ba-75bef554e591,210
Led Zeppelin,339949679,4918264,678d88b2-87b0-403b-b63d-5da7465aecc3,211
Ken Carson,280864735,1153713,84d4283e-903a-42c4-a0d2-d3949bfa1f3f,212
Sean Paul,49578125,3186714,c3da3346-2643-48a7-93cd-011f6834b3d7,213
Prince,102414600,3312300,070d193a-845c-479f-980e-bef15710653e,214
Marvin Gaye,90228051,3744228,afdb7919-059d-43c1-b668-ba1d265e7e42,215
Lucki,287670759,1146535,,216
Amy Winehouse,203008430,4605462,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,217
Slayyyter,54942716,816973,9058d01e-8afc-47a4-8664-621fb5f159c0,218
Grimes,195068214,2648710,7e5a2a59-6d9f-4a17-b7c2-e1eedb7bd222,219
The Chainsmokers,88354255,2792629,91a81925-92f9-4fc9-b897-93cf01226282,220
Pearl Jam,252413264,4341258,83b9cbe7-9857-49e2-ab8e-b57b01038103,221
Pixies,214753607,4256918,b6b2bb8d-54a9-491f-9607-7b546023b433,222
Guns N' Roses,202985626,5172694,,223
Shawn Mendes,140411105,2696479,b7d92248-97e3-4450-8057-6fe06738f735,224
$uicideboy$,465245429,1577098,0d23ca32-6136-4522-8cc2-1b624d0ea2d1,225
Men I Trust,125282055,2154752,25ab7547-a4d2-480b-b028-c7f3497bc858,226
2Pac,145398521,4145567,382f1005-e9ab-4684-afd4-0bdae4ee37f2,227
Ethel Cain,150109985,1258362,677e31f1-4035-463c-8ca4-41175440c919,228
Magdalena Bay,112649797,1430378,68c261d5-48c8-4ea9-9466-9fc908dc79bb,229
ENHYPEN,337002699,1123645,95663592-1447-4579-90f7-c94733476667,230
Hearts2Hearts,19538647,382034,066080a4-84c7-46c6-91d3-dc10d572749b,231
Imogen Heap,90516746,3035537,328d146c-79f1-4eb6-9e40-8ee5710c14e5,232
Daryl Hall & John Oates,54836959,2527490,debabff3-2559-46e5-862d-ef2a906d7010,233
Blur,193991476,4748978,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,234
Crystal Castles,239082437,3165096,b1570544-93ab-4b2b-8398-131735394202,235
Black Sabbath,208977189,4376335,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,236
Glass Animals,134960265,2600119,20395131-fbde-43ce-b141-b700cfdae99c,237
Mariah Carey,251921896,5043347,494e8d09-f85b-4543-892f-a5096aed1cd4,238
Madison Beer,107936147,1657698,749ef494-8518-4b49-b685-63d8e728d25c,239
MF DOOM,161590978,2287201,188711ed-c99b-439c-844a-ca831f63a727,240
Björk,257221863,3442828,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,241
Snow Strippers,56283752,880928,33243fef-ce1a-4ba7-a81e-ec72e4c5029a,242
Fontaines D.C.,76754248,1098022,fd87acc7-e0a0-4a45-bc2a-d2ab5c10be68,243
Sublime,123511458,3108348,95f5b748-d370-47fe-85bd-0af2dc450bc0,244
Flo Rida,75991753,4150113,4593d49a-7f67-46ba-9ec0-126bd676286f,245
Wallows,126350177,2059056,9fae44ec-b95c-4b0f-a0a6-f0008613eabf,246
Julia Wolf,14202632,625607,b89456e0-cf8d-4a29-baed-4b2d1fe3ef6a,247
The Notorious B.I.G.,94010043,3101557,d5d97b2b-b83b-4976-814a-056d9076c8c3,248
girl in red,114532160,2470749,4ae429fe-735c-4968-8253-a591421b1bd0,249
Depeche Mode,294744752,4428346,8538e728-ca0b-4321-b7e5-cff6565dd4c0,250
Strawberry Guy,50103726,1713861,287cb25a-9b05-474c-9ad1-38046a46c37f,251
ZAYN,117993902,2234874,,252
Billy Idol,56945447,3048146,47c8f88b-987a-4b64-9175-2b1b57809727,253
Dave,76505010,1292596,c7740223-c657-4b0a-a0a4-b8349169e760,254
Lisa,127445096,1940531,70198b37-f6c7-4cc7-a728-4224e860a15f,255
Gigi Perez,49177421,1390526,8ab64ebd-200e-47af-a3fc-92540e186214,256
The Offspring,213235920,4559897,23a03e33-a603-404e-bcbf-2c00159d7067,257
Agust D,592668276,856079,f09d2950-e3c6-47b2-b21c-2bad2cd3f616,258
Bryson Tiller,104408876,1688361,d8fd8d9b-473b-4f06-83c8-869b1bb9de89,259
Jimin,801693414,886045,d2582c77-6b0f-4b2f-802f-8f3cad1a5fec,260
Cardi B,78256451,2409698,2f3c4d70-0462-40da-bba3-0aec5772c556,261
IVE,158768136,1041614,a760a4d1-1258-4833-9ed5-fa083902d907,262
FKA twigs,151748851,1658665,1e4e9db7-5068-4a9c-bdd0-5777e47172c8,263
¥$,79746009,1464910,58daf317-be5f-439f-a04d-0d6727f1a3b2,264
America,40058993,2138022,34cf95c7-4be9-4efd-a48a-c2ea4a0bb114,265
Adrianne Lenker,112819949,1334384,763cb144-afdb-471e-bd86-d4f5b9b58641,266
Aphex Twin,221596528,3014528,f22942a1-6f70-4f48-866e-238cb2308fbd,267
OneRepublic,134932556,4301254,c33c2065-b1c3-4406-b066-d33a9e2ea71a,268
RM,530665214,798338,0c33fb3f-50ab-4eba-adb4-7e4faa9bcc54,269
Kings of Leon,265744760,5116215,6ffb8ea9-2370-44d8-b678-e9237bbd347b,270
AC/DC,212182605,4534819,66c662b6-6e2f-4930-8610-912e24c63ed1,271
She & Him,48362474,1732314,fb821608-35fd-4a45-a4b2-1a0537cee111,272
Eagles,79087826,3815182,f46bd570-5768-462e-b84c-c7c993bbf47e,273
Talking Heads,142117029,3233764,a94a7155-c79d-4409-9fcf-220cb0e4dc3a,274
Stray Kids,484281842,1342273,142b343d-bf5a-428c-a64f-6d1a7566bbe9,275
Ayesha Erotica,60765560,1183897,de5d7601-f6fa-4efa-ae3f-7005a2b89a1b,276
Duran Duran,76236898,3156899,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,277
Bladee,409765896,964601,cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4,278
Camila Cabello,128347447,2387866,01b8b5bf-06cb-45da-85fb-61ada72fcd69,279
The Sundays,49043481,1321043,9df32318-47d5-4df7-bc68-3ed9e15eb0f6,280
Hotel Ugly,52891897,1895416,d1338719-b2e2-45d6-a457-671232f553d4,281
Tove Lo,123044358,2427903,56756959-1e78-429c-b897-e1d056cb0225,282
Elliott Smith,285579146,2938335,03ad1736-b7c9-412a-b442-82536d63a5c4,283
Bob Dylan,292647346,4287001,72c536dc-7137-4477-a521-567eeb840fa8,284
Jin,806599370,822462,b1de066c-2766-4d73-86a6-ad28fe951687,285
Zedd,61521504,2585273,56c4b861-0922-4c3a-a9b9-3bfcb00f8274,286
TOMORROW X TOGETHER,427497274,1216727,9d027d72-790e-40ec-bbb7-61aa613457de,287
DJ Snake,48489587,2581387,aa114151-4a17-42b0-8e20-37b434627479,288
bbno$,68962801,1502786,27638856-79a1-4495-b7da-1912899560c7,289
2hollis,80045821,786915,8bd5a8fb-4c25-401d-a597-2c24affdd5c5,290
Suki Waterhouse,54419407,1739224,8389ff77-a7a4-4ba4-bf1b-17ded47d41a1,291
Fred again..,66476567,1290348,bca46a0c-25c9-42ca-98c2-e64c8a5e337e,292
d4vd,114363493,2282129,d8e07579-ff5a-41f2-b7a7-c71880b8287a,293
Marina Sena,94712829,484757,2b1e7c27-2663-43df-9c23-8601e173e6ef,294
Fetty Wap,32926462,1694027,e3492ea0-5997-4241-a7bf-2fd7fb1bfad1,295
Dire Straits,114983662,3511608,614e3804-7d34-41ba-857f-811bad7c2b7a,296
XG,63559521,820457,8dfe067c-ae90-472e-80f2-fcee9be4e158,297
Denzel Curry,154706101,1621992,5f95440d-7737-4a36-9bcf-c05337f7129b,298
underscores,32798183,502095,ab1a3f85-e0ea-470a-af5c-175447ae774c,299
Two Door Cinema Club,129120640,3136284,6f1de078-6684-4792-820d-2ffad64c15ed,300
HUNTR/X,41206835,1146728,,301
Thundercat,76202665,2028513,044fd265-79dd-43eb-afc4-8b20becf7e17,302
Willow,74200564,2327983,e1af94bb-71da-4def-b716-731d67acf7df,303
Nickelback,151355310,4344361,bc710bcf-8815-42cf-bad2-3f1d12246aeb,304
Jack Harlow,78523649,1845362,134cb0bc-06fa-42f7-8078-b0c858349975,305
Soundgarden,103368865,3306121,153c9281-268f-4cf3-8938-f5a4593e5df4,306
Nine Inch Nails,317166257,3590162,b7ffd2af-418f-4be2-bdd1-22f8b48613da,307
V,728434242,929292,6ea37194-8483-470c-8b3d-ca545903a853,308
The All-American Rejects,86225785,3288084,,309
Disclosure,74668529,2461596,5b5aac7b-0c4b-47ad-b814-a513fac6fde1,310
Mother Mother,104070602,1919684,69681b02-05b8-4685-80cb-e98983b7a96f,311
J Balvin,64020649,1830475,5bdeb32d-56a5-4b6d-a768-264101fa0a0a,312
Bee Gees,69065446,3425998,bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810,313
Queens of the Stone Age,254123994,3727818,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,314
Fiona Apple,177858983,2715820,a9ee533f-8871-4f62-a6bb-91eb264abc90,315
Khalid,95763163,2289917,0e8496ce-87a0-4529-aed7-8ebd7253bbf7,316
Kehlani,69035648,1681907,3260ce89-5eb0-4c6a-89c7-379c0dfc2ab9,317
Avicii,111740136,3335712,c85cfd6b-b1e9-4a50-bd55-eb725f04f7d5,318
A Boogie wit da Hoodie,100920121,1440739,,319
Timbaland,64230270,3545300,daa09819-5da5-4c7a-8bef-eb372bb27ff1,320
